fecha,anio,mes,linea,afluencia
8/30/2005,2005,Agosto,Linea 7,0
8/30/2005,2005,Agosto,Linea 4,0
8/30/2005,2005,Agosto,Linea 6,0
8/30/2005,2005,Agosto,Linea 2,0
8/30/2005,2005,Agosto,Linea 3,0
8/31/2005,2005,Agosto,Linea 4,0
8/31/2005,2005,Agosto,Linea 3,0
8/31/2005,2005,Agosto,Linea 2,0
8/31/2005,2005,Agosto,Linea 5,0
8/31/2005,2005,Agosto,Linea 6,0
8/31/2005,2005,Agosto,Linea 7,0
8/31/2005,2005,Agosto,Linea 1,264626
9/1/2005,2005,Septiembre,Linea 4,0
9/1/2005,2005,Septiembre,Linea 7,0
9/1/2005,2005,Septiembre,Linea 1,264803
9/1/2005,2005,Septiembre,Linea 2,0
9/1/2005,2005,Septiembre,Linea 5,0
9/1/2005,2005,Septiembre,Linea 6,0
9/1/2005,2005,Septiembre,Linea 3,0
9/2/2005,2005,Septiembre,Linea 5,0
9/2/2005,2005,Septiembre,Linea 3,0
9/2/2005,2005,Septiembre,Linea 7,0
9/2/2005,2005,Septiembre,Linea 1,279346
9/2/2005,2005,Septiembre,Linea 2,0
9/2/2005,2005,Septiembre,Linea 4,0
9/2/2005,2005,Septiembre,Linea 6,0
9/3/2005,2005,Septiembre,Linea 4,0
9/3/2005,2005,Septiembre,Linea 2,0
9/3/2005,2005,Septiembre,Linea 3,0
9/3/2005,2005,Septiembre,Linea 7,0
9/3/2005,2005,Septiembre,Linea 1,149127
9/3/2005,2005,Septiembre,Linea 5,0
9/3/2005,2005,Septiembre,Linea 6,0
9/4/2005,2005,Septiembre,Linea 2,0
9/4/2005,2005,Septiembre,Linea 5,0
9/4/2005,2005,Septiembre,Linea 6,0
9/4/2005,2005,Septiembre,Linea 3,0
9/4/2005,2005,Septiembre,Linea 4,0
9/4/2005,2005,Septiembre,Linea 7,0
9/4/2005,2005,Septiembre,Linea 1,103497
9/5/2005,2005,Septiembre,Linea 3,0
9/5/2005,2005,Septiembre,Linea 7,0
9/5/2005,2005,Septiembre,Linea 5,0
9/5/2005,2005,Septiembre,Linea 6,0
9/5/2005,2005,Septiembre,Linea 1,249980
9/5/2005,2005,Septiembre,Linea 2,0
9/5/2005,2005,Septiembre,Linea 4,0
9/6/2005,2005,Septiembre,Linea 1,275915
9/6/2005,2005,Septiembre,Linea 7,0
9/6/2005,2005,Septiembre,Linea 5,0
9/6/2005,2005,Septiembre,Linea 3,0
9/6/2005,2005,Septiembre,Linea 2,0
9/6/2005,2005,Septiembre,Linea 6,0
9/6/2005,2005,Septiembre,Linea 4,0
9/7/2005,2005,Septiembre,Linea 4,0
9/7/2005,2005,Septiembre,Linea 7,0
9/7/2005,2005,Septiembre,Linea 6,0
9/7/2005,2005,Septiembre,Linea 5,0
9/7/2005,2005,Septiembre,Linea 1,263641
9/7/2005,2005,Septiembre,Linea 2,0
9/7/2005,2005,Septiembre,Linea 3,0
9/8/2005,2005,Septiembre,Linea 1,265408
9/8/2005,2005,Septiembre,Linea 5,0
9/8/2005,2005,Septiembre,Linea 2,0
9/8/2005,2005,Septiembre,Linea 7,0
9/8/2005,2005,Septiembre,Linea 6,0
9/8/2005,2005,Septiembre,Linea 3,0
9/8/2005,2005,Septiembre,Linea 4,0
9/9/2005,2005,Septiembre,Linea 2,0
9/9/2005,2005,Septiembre,Linea 6,0
9/9/2005,2005,Septiembre,Linea 3,0
9/9/2005,2005,Septiembre,Linea 5,0
9/9/2005,2005,Septiembre,Linea 7,0
9/9/2005,2005,Septiembre,Linea 1,263955
9/9/2005,2005,Septiembre,Linea 4,0
9/10/2005,2005,Septiembre,Linea 4,0
9/10/2005,2005,Septiembre,Linea 2,0
9/10/2005,2005,Septiembre,Linea 1,145220
9/10/2005,2005,Septiembre,Linea 5,0
9/10/2005,2005,Septiembre,Linea 6,0
9/10/2005,2005,Septiembre,Linea 7,0
9/10/2005,2005,Septiembre,Linea 3,0
9/11/2005,2005,Septiembre,Linea 7,0
9/11/2005,2005,Septiembre,Linea 2,0
9/11/2005,2005,Septiembre,Linea 5,0
9/11/2005,2005,Septiembre,Linea 3,0
9/11/2005,2005,Septiembre,Linea 6,0
9/11/2005,2005,Septiembre,Linea 1,124012
9/11/2005,2005,Septiembre,Linea 4,0
9/12/2005,2005,Septiembre,Linea 7,0
9/12/2005,2005,Septiembre,Linea 4,0
9/12/2005,2005,Septiembre,Linea 6,0
9/12/2005,2005,Septiembre,Linea 5,0
9/12/2005,2005,Septiembre,Linea 3,0
9/12/2005,2005,Septiembre,Linea 1,258336
9/12/2005,2005,Septiembre,Linea 2,0
9/13/2005,2005,Septiembre,Linea 1,260033
9/13/2005,2005,Septiembre,Linea 5,0
9/13/2005,2005,Septiembre,Linea 2,0
9/13/2005,2005,Septiembre,Linea 7,0
9/13/2005,2005,Septiembre,Linea 6,0
9/13/2005,2005,Septiembre,Linea 4,0
9/13/2005,2005,Septiembre,Linea 3,0
9/14/2005,2005,Septiembre,Linea 7,0
9/14/2005,2005,Septiembre,Linea 6,0
9/14/2005,2005,Septiembre,Linea 3,0
9/14/2005,2005,Septiembre,Linea 1,282737
9/14/2005,2005,Septiembre,Linea 2,0
9/14/2005,2005,Septiembre,Linea 5,0
9/14/2005,2005,Septiembre,Linea 4,0
9/15/2005,2005,Septiembre,Linea 1,237573
9/15/2005,2005,Septiembre,Linea 5,0
9/15/2005,2005,Septiembre,Linea 7,0
9/15/2005,2005,Septiembre,Linea 3,0
9/15/2005,2005,Septiembre,Linea 4,0
9/15/2005,2005,Septiembre,Linea 6,0
9/15/2005,2005,Septiembre,Linea 2,0
9/16/2005,2005,Septiembre,Linea 1,131751
9/16/2005,2005,Septiembre,Linea 2,0
9/16/2005,2005,Septiembre,Linea 3,0
9/16/2005,2005,Septiembre,Linea 7,0
9/16/2005,2005,Septiembre,Linea 5,0
9/16/2005,2005,Septiembre,Linea 6,0
9/16/2005,2005,Septiembre,Linea 4,0
9/17/2005,2005,Septiembre,Linea 2,0
9/17/2005,2005,Septiembre,Linea 3,0
9/17/2005,2005,Septiembre,Linea 7,0
